admin_unit;events;event;flood_start;flood_end;duration
KATI;18;18;2022-08-12;2022-08-13;2
KATI;19;19;2022-08-12;2022-08-13;2
KAYES;0;0;1906-08-21;1906-08-21;1
KAYES;1;1;1995-07-17;1995-07-17;1
KAYES;2;2;1998-08-13;1998-08-13;1
KAYES;3;3;1999-08-01;1999-08-01;1
KAYES;4;4;1999-08-05;1999-08-05;1
KAYES;5;5;2004-01-31;2004-01-31;1
KAYES;6;6;2004-08-15;2004-08-15;1
KAYES;7;7;2005-09-21;2005-09-27;7
KAYES;8;8;2007-07-16;2007-07-16;1
KAYES;9;9;2007-08-15;2007-08-15;1
KAYES;10;10;2007-08-30;2007-08-30;1
KAYES;11;11;2008-08-18;2008-08-19;2
KAYES;12;12;2009-09-05;2009-09-05;1
KAYES;13;13;2010-04-04;2010-04-04;1
KAYES;14;14;2010-08-13;2010-08-13;1
KAYES;15;15;2010-09-12;2010-09-12;1
KAYES;16;16;2010-09-14;2010-09-14;1
KAYES;17;17;2011-08-30;2011-08-30;1
KAYES;18;18;2011-08-31;2011-08-31;1
KAYES;19;19;2012-06-02;2012-06-02;1
KAYES;20;20;2012-06-02;2012-06-02;1
KAYES;21;21;2012-06-02;2012-06-02;1
KAYES;22;22;2012-08-14;2012-08-14;1
KAYES;23;23;2012-08-14;2012-08-14;1
KAYES;24;24;2012-08-21;2012-08-21;1
KAYES;25;25;2013-06-28;2013-06-28;1
KAYES;26;26;2013-06-28;2013-06-28;1
KAYES;27;27;2013-06-28;2013-06-28;1
KAYES;28;28;2013-09-09;2013-09-09;1
KAYES;29;29;2014-08-15;2014-08-15;1
KAYES;30;30;2017-06-22;2017-06-23;2
KAYES;31;31;2019-08-07;2019-08-07;1
KAYES;32;32;2022-06-20;2022-06-21;2
KENEKOUN;0;0;2019-08-07;2019-08-07;1
KENIEBA;0;0;2010-09-12;2010-09-12;1
KENIEBA;1;1;2010-09-12;2010-09-12;1
KENIEBA;2;2;2012-08-08;2012-08-08;1
KIDAL;0;0;2004-08-15;2004-08-15;1
KIDAL;1;1;2010-08-01;2010-08-01;1
KIDAL;2;2;2016-08-01;2016-08-01;1
KIDAL;3;3;2018-09-19;2018-09-19;1
KIDAL;4;4;2022-05-01;2022-05-02;2
KITA;0;0;2007-08-27;2007-08-27;1
KITA;1;1;2007-08-27;2007-08-27;1
KITA;2;2;2007-08-27;2007-08-27;1
KITA;3;3;2007-08-27;2007-08-27;1
KITA;4;4;2007-08-27;2007-08-27;1
KITA;5;5;2007-08-27;2007-08-27;1
KITA;6;6;2007-08-27;2007-08-27;1
KITA;7;7;2007-08-27;2007-08-27;1
KITA;8;8;2007-08-27;2007-08-27;1
KITA;9;9;2009-05-09;2009-05-09;1
KITA;10;10;2009-05-16;2009-05-16;1
KITA;11;11;2009-05-23;2009-05-23;1
KITA;12;12;2009-06-08;2009-06-08;1
