;gaugeId;issue_date;issue_time;fc_date;fc_value
163;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-14;0.7263463139533997
164;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-15;0.7259975075721741
165;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-16;0.719462513923645
166;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-17;0.7151812314987183
167;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-18;0.679394006729126
168;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-12;0.7820221781730652
169;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-13;0.7746132612228394
170;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-14;0.7246139049530029
171;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-15;0.7258288860321045
172;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-16;0.7353228330612183
173;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-17;0.724537193775177
174;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-18;0.6957870721817017
175;hybas_1120661040;2024-11-13;2024-11-13 13:34:33.018162+00:00;2024-11-19;0.6556649208068848
176;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-13;0.7721372842788696
177;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-14;0.772098958492279
178;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-15;0.7337169051170349
179;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-16;0.7486764788627625
180;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-17;0.749416172504425
181;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-18;0.6983857750892639
182;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-19;0.6718854904174805
183;hybas_1120661040;2024-11-14;2024-11-14 13:54:58.653735+00:00;2024-11-20;0.6493253707885742
184;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-14;0.7740882039070129
185;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-15;0.772869348526001
186;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-16;0.7450467348098755
187;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-17;0.7428122162818909
188;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-18;0.7098037600517273
189;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-19;0.6700687408447266
190;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-20;0.6571175456047058
191;hybas_1120661040;2024-11-15;2024-11-15 13:43:41.378717+00:00;2024-11-21;0.6011082530021667
192;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-15;0.7727543711662292
193;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-16;0.7723979353904724
