,flood_start,flood_end,Cercle,duration
465,2010-09-06,2010-09-06,SAN,1
466,2010-09-05,2010-09-05,BAFOULABE,1
467,2010-09-05,2010-09-05,SIKASSO,1
468,2010-09-04,2010-09-04,KANGABA,1
469,2010-09-03,2010-09-03,KOUTIALA,1
470,2010-09-03,2010-09-03,DISTRICT,1
471,2010-09-03,2010-09-03,KOUTIALA,1
472,2010-09-03,2010-09-03,KORO,1
473,2010-09-03,2010-09-03,KATI,1
474,2010-09-01,2010-09-01,BARAOUELI,1
475,2010-09-01,2010-09-01,KATI,1
476,2010-09-01,2010-09-01,TOMBOUCTO,1
477,2010-09-01,2010-09-01,BARAOUELI,1
478,2010-09-01,2010-09-01,KOUTIALA,1
479,2010-09-01,2010-09-01,KOLOKANI,1
480,2010-08-31,2010-08-31,GOUNDAM,1
481,2010-08-30,2010-08-30,NARA,1
482,2010-08-29,2010-08-29,NIONO,1
483,2010-08-29,2010-08-29,NIONO,1
484,2010-08-28,2010-08-28,GAO,1
485,2010-08-28,2010-08-28,ANSONGO,1
486,2010-08-27,2010-08-27,DISTRICT,1
487,2010-08-24,2010-08-24,BANAMBA,1
488,2010-08-23,2010-08-23,BARAOUELI,1
489,2010-08-21,2010-08-21,BAFOULABE,1
490,2010-08-21,2010-08-21,BARAOUELI,1
491,2010-08-18,2010-08-18,SEGOU,1
492,2010-08-15,2010-08-15,BARAOUELI,1
493,2010-08-14,2010-08-14,BARAOUELI,1
494,2010-08-13,2010-08-13,KAYES,1
495,2010-08-13,2010-08-13,KORO,1
496,2010-08-13,2010-08-13,KOUTIALA,1
497,2010-08-13,2010-08-13,BANKASS,1
498,2010-08-13,2010-08-13,BARAOUELI,1
499,2010-08-12,2010-08-12,BANDIAGAR,1
500,2010-08-11,2010-08-12,TOMBOUCTO,2
501,2010-08-11,2010-08-11,KOUTIALA,1
502,2010-08-11,2010-08-11,SEGOU,1
503,2010-08-08,2010-08-08,BLA,1
504,2010-08-08,2010-08-08,MACINA,1
505,2010-08-06,2010-08-06,TOMBOUCTO,1
506,2010-08-04,2010-08-04,DISTRICT,1
507,2010-08-01,2010-08-01,KATI,1
508,2010-08-01,2010-08-01,KIDAL,1
509,2010-08-01,2010-08-01,BANKASS,1
